"Year","State","Plant","Long","Plant latitude","Coal","Oil","Gas","Nuclear","Hydro","Biomass","Wind","Solar","Geo","Other1","Other2"
"2018","AL","Wheeler Dam","-87.3819","34.8069","0","0","0","0","1,623,825","0","0","0","0","0","0"
"2018","AL","Widows Creek","-85.755253","34.883022","","","","","","","","","","",""
"2018","AL","Wilson Dam","-87.62537","34.79782","0","0","0","0","2,923,233","0","0","0","0","0","0"
"2018","AL","Yates Dam","-85.8901","32.5743","0","0","0","0","142,992","0","0","0","0","0","0"
"2018","AL","Yellowhammer Gas Plant","-88.12833","30.403538","0","0","17,911","0","0","0","0","0","0","0","0"
"2018","AR","Archer Daniels Midland Little Rock","-92.199722","34.7","","","","","","","","","","",""
"2018","AR","Arkansas Nuclear One","-93.2351","35.311","0","0","0","12,720,818","0","0","0","0","0","0","0"
"2018","AR","Ashdown","-94.1083","33.6417","45,505","0","71,072","0","0","533,633","0","0","0","5,087","0"
"2018","AR","Beaver Dam","-93.847373","36.421507","0","0","0","0","119,380","0","0","0","0","0","0"
"2018","AR","Blakely Mountain","-93.194425","34.570984","0","0","0","0","182,961","0","0","0","0","0","0"
"2018","AR","Bull Shoals","-92.5763","36.3635","0","0","0","0","622,630","0","0","0","0","0","0"
"2018","AR","Carl Bailey","-91.363426","35.260102","0","0","14,199","0","0","0","0","0","0","0","0"
"2018","AR","Carpenter","-93.0262","34.4425","0","0","0","0","124,077","0","0","0","0","0","0"
"2018","AR","Cecil Lynch","-92.1987","34.7535","","","","","","","","","","",""
"2018","AR","City Water & Light - City of Jonesboro","-90.725377","35.848561","0","7","49,973","0","0","0","0","0","0","0","0"
"2018","AR","Clearwater Paper APP CB","-91.2371","33.7061","0","0","32,668","0","0","81,877","0","0","0","0","0"
"2018","AR","Columbia Flooring Melbourne","-91.919802","36.060514","0","0","0","0","0","5,631","0","0","0","0","0"
"2018","AR","Dam 2","-91.315788","33.986501","0","0","0","0","289,523","0","0","0","0","0","0"
"2018","AR","Dardanelle","-93.1686","35.2503","0","0","0","0","629,375","0","0","0","0","0","0"
"2018","AR","Degray","-93.110963","34.211913","0","0","0","0","77,354","0","0","0","0","0","0"
"2018","AR","Dell Power Plant","-90.0253","35.8619","0","0","2,028,650","0","0","0","0","0","0","0","0"
"2018","AR","Elkins Generating Center","-94.0014","35.9714","0","0","5,359","0","0","0","0","0","0","0","0"
"2018","AR","Ellis Hydro","-94.294349","35.351361","0","0","0","0","117,406","0","0","0","0","0","0"
"2018","AR","FECC Solar Benton","-92.578347","34.638429","0","0","0","0","0","0","0","1,540","0","0","0"
"2018","AR","Flint Creek Power Plant","-94.5241","36.2561","2,663,090","6,658","0","0","0","0","0","0","0","0","0"
"2018","AR","Fourche Creek Wastewater","-92.165","34.6968","0","0","114","0","0","5,576","0","0","0","0","0"
"2018","AR","Fulton","-93.7924","33.6094","0","0","103,733","0","0","0","0","0","0","0","0"
"2018","AR","Genova Arkansas I LLC","-94.284166","36.186111","","","","","","","","","","",""
"2018","AR","Georgia-Pacific Crossett LLC","-91.975","33.1421","0","3,073","163,203","0","0","306,405","0","0","0","0","0"
"2018","AR","Greers Ferry Lake","-91.9953","35.5207","0","0","0","0","200,955","0","0","0","0","0","0"
"2018","AR","Hamilton Moses","-90.8722","34.9806","","","","","","","","","","",""
